State,Vehicle_Type,Weather_Condition,Road_Condition,Road_Type,Time_of_Day,Speed_kmph,Crash_Force_kN,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Usage,Emergency_Response_Time_min,Driver_License,Gender,Severity,Number_of_Fatalities,Year,Month,Timing
Rajasthan,Bike,Clear,Dry,Highway,Night,81,112.15,Yes,Not Applicable,Yes,Yes,29.2,No,Male,Fatal,4,2022,October,2:59
Tamil Nadu,Bike,Rainy,Wet,Urban,Night,57.1,86.61,No,Not Applicable,No,No,33.7,No,Male,Fatal,4,2023,July,22:38
Tamil Nadu,Car,Foggy,Damaged,Rural,Morning,55.2,78.76,Not Applicable,Yes,Yes,Yes,14.2,No,Female,Fatal,7,2021,December,5:00
Maharashtra,Bike,Clear,Dry,Highway,Night,104.6,167.09,No,Not Applicable,Yes,No,16,Yes,Female,Fatal,2,2022,December,0:00
Gujarat,Bike,Clear,Dry,Highway,Morning,108.2,146.79,No,Not Applicable,Yes,Yes,20.9,Yes,Female,Fatal,2,2023,February,9:23
Karnataka,Bike,Rainy,Dry,Highway,Morning,76.9,122.49,Yes,Not Applicable,No,Yes,11.5,Yes,Female,Fatal,2,2020,January,10:08
Gujarat,Car,Clear,Wet,Rural,Morning,82.8,123.53,Not Applicable,No,Yes,No,15.4,Yes,Female,Fatal,5,2022,April,8:05
Rajasthan,Car,Clear,Dry,Urban,Night,49.5,70.9,Not Applicable,No,Yes,No,27.3,Yes,Male,Fatal,2,2023,June,2:49
Karnataka,Truck,Foggy,Dry,Rural,Night,67.3,90.07,Not Applicable,No,Yes,Yes,32.6,Yes,Male,Fatal,3,2024,March,21:27
Uttar Pradesh,Bus,Rainy,Dry,Highway,Morning,84.6,112.53,Not Applicable,No,Yes,No,30.1,No,Male,Fatal,30,2021,December,9:00
Maharashtra,Car,Foggy,Damaged,Urban,Afternoon,66.6,86.94,Not Applicable,No,Yes,Yes,22.5,Yes,Female,Fatal,6,2021,June,14:51
Karnataka,Bike,Foggy,Wet,Urban,Night,63,99.21,Yes,Not Applicable,No,No,29.8,No,Male,Fatal,4,2019,March,22:11
Rajasthan,Truck,Foggy,Damaged,Highway,Night,103.1,150.61,Not Applicable,Yes,No,No,32.5,Yes,Male,Fatal,3,2022,December,1:29
Karnataka,Bike,Rainy,Dry,Highway,Evening,90.5,136.38,No,Not Applicable,No,Yes,22.6,Yes,Male,Fatal,1,2020,April,17:11
Karnataka,Car,Rainy,Damaged,Highway,Evening,102.9,153.96,Not Applicable,Yes,No,No,15.5,No,Male,Fatal,7,2022,October,18:15
Tamil Nadu,Bike,Rainy,Wet,Highway,Afternoon,99.6,131.15,Yes,Not Applicable,No,Yes,27.1,Yes,Male,Fatal,3,2024,October,14:45
Rajasthan,Truck,Clear,Damaged,Highway,Morning,93.2,134.75,Not Applicable,No,No,No,29.9,Yes,Male,Fatal,3,2021,March,4:08
Gujarat,Truck,Clear,Wet,Urban,Night,60.2,89.63,Not Applicable,No,No,No,28.9,Yes,Male,Fatal,2,2019,September,3:35
Karnataka,Car,Foggy,Wet,Urban,Afternoon,51.4,71.94,Not Applicable,Yes,No,Yes,29.2,No,Female,Fatal,5,2019,June,15:02
Gujarat,Car,Rainy,Wet,Urban,Night,61.7,83.07,Not Applicable,Yes,No,Yes,14.8,No,Female,Fatal,8,2021,June,3:05
Tamil Nadu,Car,Foggy,Wet,Rural,Morning,46.1,63.76,Not Applicable,Yes,Yes,No,12.8,No,Female,Fatal,7,2023,February,7:47
Maharashtra,Car,Rainy,Dry,Rural,Night,78.7,121.74,Not Applicable,No,Yes,Yes,24.4,No,Male,Fatal,3,2021,July,1:47
Gujarat,Bike,Clear,Damaged,Highway,Night,91.9,121.05,Yes,Not Applicable,Yes,No,22.1,Expired,Female,Fatal,4,2024,January,0:05
Karnataka,Bike,Foggy,Dry,Highway,Night,102.7,163.28,Yes,Not Applicable,No,No,14.6,Yes,Male,Fatal,1,2021,March,1:14
Tamil Nadu,Car,Rainy,Wet,Highway,Afternoon,105.2,145.17,Not Applicable,Yes,Yes,No,32.3,Yes,Male,Fatal,3,2021,March,15:06
Gujarat,Bus,Clear,Damaged,Urban,Night,55.4,82.79,Not Applicable,No,Yes,Yes,33.4,Yes,Male,Fatal,31,2021,January,2:00
Maharashtra,Bike,Clear,Wet,Highway,Evening,106.1,141.18,No,Not Applicable,Yes,Yes,11.1,Expired,Female,Fatal,4,2024,June,17:55
Gujarat,Bike,Rainy,Dry,Highway,Night,95.3,141.72,Yes,Not Applicable,No,Yes,14.4,Yes,Female,Fatal,1,2023,August,0:28
Karnataka,Bike,Foggy,Damaged,Rural,Night,67.3,97.88,Yes,Not Applicable,Yes,Yes,27.3,Yes,Male,Fatal,5,2020,January,0:55
Maharashtra,Bike,Clear,Damaged,Highway,Night,113.4,175.51,Yes,Not Applicable,No,Yes,20.2,Yes,Female,Fatal,2,2023,October,0:40
Rajasthan,Bike,Rainy,Wet,Urban,Morning,49,66.18,No,Not Applicable,No,No,17,No,Male,Fatal,4,2020,January,8:45
Tamil Nadu,Truck,Rainy,Dry,Rural,Night,58.8,76.76,Not Applicable,Yes,Yes,Yes,27.4,Yes,Male,Fatal,3,2021,September,23:18
Uttar Pradesh,Car,Clear,Damaged,Highway,Morning,93.1,144.5,Not Applicable,Yes,No,No,34.6,Yes,Female,Fatal,3,2022,August,8:34
Maharashtra,Bike,Foggy,Wet,Rural,Morning,68.1,93.18,No,Not Applicable,Yes,No,17.9,Yes,Female,Fatal,5,2024,November,10:56
Gujarat,Bike,Clear,Damaged,Highway,Night,89.1,122.8,Yes,Not Applicable,Yes,Yes,19.6,Yes,Male,Fatal,3,2023,September,22:49
Rajasthan,Car,Clear,Wet,Rural,Morning,61.4,90.52,Not Applicable,No,Yes,No,15.4,No,Male,Fatal,8,2024,September,11:09
Maharashtra,Bike,Rainy,Wet,Highway,Morning,82.1,126.44,No,Not Applicable,No,No,13.9,Yes,Female,Fatal,2,2024,April,6:27
Uttar Pradesh,Truck,Rainy,Wet,Urban,Morning,55.5,77.16,Not Applicable,Yes,Yes,No,31.3,Yes,Male,Fatal,5,2021,July,11:49
Tamil Nadu,Car,Clear,Damaged,Urban,Morning,41.4,55.33,Not Applicable,No,Yes,Yes,16,Expired,Male,Fatal,8,2020,April,11:08
Maharashtra,Car,Rainy,Dry,Highway,Morning,105.5,159.8,Not Applicable,Yes,Yes,No,16,No,Male,Fatal,8,2023,December,8:35
Uttar Pradesh,Car,Rainy,Wet,Highway,Morning,91.4,123.58,Not Applicable,Yes,No,No,31.9,Yes,Female,Fatal,3,2022,August,5:43
Gujarat,Bike,Clear,Damaged,Highway,Night,108.1,145.07,Yes,Not Applicable,No,No,29.1,Yes,Male,Fatal,3,2019,May,3:52
Karnataka,Truck,Rainy,Wet,Urban,Night,59,84.72,Not Applicable,Yes,Yes,Yes,11.4,Yes,Male,Fatal,5,2020,August,21:05
Tamil Nadu,Bike,Rainy,Wet,Highway,Night,96.8,151.55,No,Not Applicable,Yes,No,29.2,No,Female,Fatal,7,2020,March,21:39
Maharashtra,Bike,Rainy,Wet,Urban,Night,38.5,53.88,Yes,Not Applicable,No,No,24.3,No,Male,Fatal,3,2023,October,22:30
Rajasthan,Bike,Clear,Wet,Rural,Evening,52.5,69,No,Not Applicable,Yes,Yes,15.1,No,Female,Fatal,7,2022,January,18:27
Rajasthan,Bike,Clear,Dry,Highway,Afternoon,95.3,137.92,No,Not Applicable,Yes,Yes,30.6,No,Female,Fatal,4,2019,November,13:57
Karnataka,Car,Clear,Damaged,Highway,Night,104.3,140.25,Not Applicable,Yes,No,No,17.5,Expired,Male,Fatal,5,2022,November,23:08
Karnataka,Car,Rainy,Wet,Urban,Afternoon,40.2,57.29,Not Applicable,No,Yes,Yes,14.2,Yes,Male,Fatal,6,2024,October,13:00
Maharashtra,Car,Foggy,Dry,Urban,Evening,44.5,61.86,Not Applicable,Yes,Yes,No,28,No,Female,Fatal,4,2019,June,19:11
Tamil Nadu,Truck,Rainy,Dry,Highway,Night,84.3,124.31,Not Applicable,No,Yes,Yes,13.5,Yes,Male,Fatal,3,2024,June,3:07
Tamil Nadu,Bike,Foggy,Wet,Highway,Evening,96,152.38,Yes,Not Applicable,Yes,No,34.8,Yes,Female,Fatal,5,2021,February,20:00
Rajasthan,Bike,Foggy,Dry,Urban,Evening,67.4,98.34,No,Not Applicable,Yes,No,23.2,No,Female,Fatal,4,2022,February,18:08
Karnataka,Car,Clear,Damaged,Highway,Night,85.7,133.26,Not Applicable,Yes,No,Yes,13.7,Yes,Male,Fatal,5,2021,November,3:12
Rajasthan,Bike,Rainy,Wet,Highway,Morning,101.5,157.48,Yes,Not Applicable,No,No,32.2,No,Male,Fatal,3,2019,February,7:05
Karnataka,Bike,Clear,Damaged,Urban,Morning,43.5,59.51,No,Not Applicable,Yes,Yes,22.6,No,Female,Fatal,4,2019,June,5:58
Maharashtra,Car,Foggy,Dry,Highway,Night,74,96.55,Not Applicable,Yes,Yes,No,22.5,No,Female,Fatal,3,2020,April,2:54
Tamil Nadu,Bike,Rainy,Damaged,Urban,Night,69.6,105.07,No,Not Applicable,Yes,Yes,22.7,Yes,Male,Fatal,3,2020,May,2:22
Tamil Nadu,Car,Foggy,Wet,Highway,Night,97.6,148.36,Not Applicable,Yes,No,Yes,26.5,No,Female,Fatal,4,2024,November,2:01
Maharashtra,Truck,Foggy,Wet,Urban,Night,39.5,52.56,Not Applicable,No,Yes,Yes,11.8,Yes,Male,Fatal,5,2019,June,3:49
Karnataka,Bike,Rainy,Damaged,Urban,Morning,57.9,78.35,No,Not Applicable,No,Yes,13.1,No,Female,Fatal,4,2022,September,8:04
Uttar Pradesh,Bike,Rainy,Damaged,Highway,Night,90.3,130.76,No,Not Applicable,No,No,34.3,Yes,Female,Fatal,3,2019,May,22:51
Gujarat,Truck,Rainy,Damaged,Rural,Night,71.4,97.3,Not Applicable,Yes,Yes,No,32.4,No,Male,Fatal,4,2019,June,0:10
Karnataka,Car,Foggy,Wet,Rural,Night,79.4,106.61,Not Applicable,Yes,No,Yes,18.4,No,Female,Fatal,3,2024,November,22:34
Gujarat,Bike,Clear,Damaged,Rural,Morning,81.4,129.21,Yes,Not Applicable,Yes,Yes,19.9,Yes,Male,Fatal,3,2021,February,5:12
Tamil Nadu,Car,Rainy,Damaged,Rural,Evening,66.6,95.58,Not Applicable,Yes,Yes,No,11.5,No,Female,Fatal,4,2023,December,19:53
Maharashtra,Car,Foggy,Damaged,Rural,Night,79.7,114.55,Not Applicable,Yes,Yes,Yes,31.9,Yes,Male,Fatal,3,2022,February,3:10
Karnataka,Car,Rainy,Damaged,Highway,Afternoon,87.7,127.35,Not Applicable,Yes,Yes,Yes,30.8,No,Female,Fatal,4,2019,October,14:42
Gujarat,Bike,Foggy,Damaged,Highway,Night,80.2,113.89,Yes,Not Applicable,Yes,Yes,16.7,No,Female,Fatal,4,2024,May,1:08
Tamil Nadu,Car,Foggy,Damaged,Highway,Night,108,158.81,Not Applicable,Yes,Yes,No,31,No,Female,Fatal,8,2024,October,21:56
Rajasthan,Truck,Clear,Damaged,Highway,Afternoon,94.4,127.74,Not Applicable,Yes,No,Yes,16.3,Expired,Male,Fatal,4,2020,September,15:33
Karnataka,Car,Rainy,Wet,Urban,Morning,60.7,86.57,Not Applicable,Yes,Yes,No,28.5,No,Female,Fatal,8,2022,August,7:26
Gujarat,Bike,Foggy,Damaged,Highway,Night,79.2,116.43,Yes,Not Applicable,No,Yes,16.9,No,Female,Fatal,3,2019,July,21:21
Karnataka,Bike,Foggy,Damaged,Highway,Morning,76.9,102.38,No,Not Applicable,Yes,No,20.4,No,Female,Fatal,4,2024,June,10:50
Maharashtra,Car,Foggy,Dry,Urban,Evening,68.6,107.04,Not Applicable,Yes,Yes,Yes,25.3,No,Female,Fatal,3,2023,January,17:34
Tamil Nadu,Truck,Clear,Wet,Urban,Afternoon,56.5,85.77,Not Applicable,No,Yes,No,10.5,Yes,Male,Fatal,5,2020,June,16:20
Karnataka,Bike,Rainy,Wet,Highway,Morning,80.9,121.84,Yes,Not Applicable,No,No,31,Yes,Male,Fatal,2,2022,July,11:15
Karnataka,Bike,Clear,Wet,Highway,Morning,82.9,116.01,No,Not Applicable,Yes,No,27,No,Male,Fatal,4,2024,July,6:43
Gujarat,Car,Foggy,Wet,Rural,Morning,68,97.64,Not Applicable,No,Yes,No,29.8,Yes,Female,Fatal,5,2023,July,8:57
Karnataka,Bus,Foggy,Wet,Urban,Evening,49.6,67.92,Not Applicable,No,Yes,No,32,Yes,Male,Fatal,33,2019,December,19:11
Tamil Nadu,Truck,Rainy,Wet,Rural,Morning,74,105.45,Not Applicable,Yes,Yes,Yes,20.6,No,Male,Fatal,4,2021,December,7:57
Rajasthan,Car,Clear,Wet,Highway,Morning,85.4,121.48,Not Applicable,Yes,Yes,No,28.8,Yes,Female,Fatal,9,2019,July,10:57
Karnataka,Car,Rainy,Damaged,Urban,Evening,68.7,94.62,Not Applicable,No,Yes,Yes,11,No,Female,Fatal,9,2023,October,18:07
Maharashtra,Bus,Rainy,Wet,Urban,Night,49.9,76.19,Not Applicable,Yes,No,No,28.1,Expired,Male,Fatal,19,2024,September,21:42
Rajasthan,Bus,Rainy,Wet,Highway,Afternoon,95.4,127.19,Not Applicable,Yes,Yes,No,11.2,Yes,Male,Fatal,24,2024,May,14:12
Gujarat,Truck,Foggy,Damaged,Urban,Evening,37.9,49.45,Not Applicable,Yes,Yes,Yes,21.2,No,Male,Fatal,7,2021,December,17:23
Gujarat,Car,Foggy,Damaged,Rural,Night,63.9,95.91,Not Applicable,Yes,Yes,Yes,28.6,Yes,Female,Fatal,5,2022,November,22:30
Gujarat,Bike,Foggy,Damaged,Highway,Morning,77.8,105.58,Yes,Not Applicable,Yes,Yes,20.1,No,Female,Fatal,4,2019,January,7:30
Tamil Nadu,Car,Rainy,Damaged,Urban,Morning,38.9,55.07,Not Applicable,Yes,Yes,No,29.4,Expired,Male,Fatal,8,2024,April,11:07
Maharashtra,Car,Foggy,Damaged,Highway,Night,87.5,114.1,Not Applicable,Yes,Yes,No,20.8,Expired,Male,Fatal,6,2024,August,2:24
Tamil Nadu,Bike,Rainy,Wet,Highway,Evening,99.5,132.91,Yes,Not Applicable,Yes,Yes,13.4,Yes,Male,Fatal,3,2021,September,17:59
Karnataka,Truck,Clear,Wet,Highway,Morning,101.3,144.43,Not Applicable,Yes,No,Yes,33.2,Yes,Male,Fatal,3,2021,September,5:55
Uttar Pradesh,Truck,Foggy,Damaged,Highway,Morning,97.7,145.72,Not Applicable,Yes,No,No,16.4,Yes,Male,Fatal,2,2023,September,4:01
Karnataka,Bike,Rainy,Wet,Urban,Evening,42.8,62.45,No,Not Applicable,No,Yes,12.9,Yes,Female,Fatal,2,2021,August,20:30
Rajasthan,Truck,Clear,Damaged,Highway,Morning,101.5,132.59,Not Applicable,Yes,No,Yes,30,Yes,Male,Fatal,2,2024,August,10:05
Tamil Nadu,Truck,Rainy,Dry,Highway,Morning,104.3,165.69,Not Applicable,No,No,Yes,26.6,Yes,Male,Fatal,2,2023,September,11:29
Karnataka,Car,Rainy,Wet,Urban,Night,59.1,92.14,Not Applicable,No,Yes,Yes,19.9,No,Male,Fatal,7,2019,May,0:46
Maharashtra,Truck,Clear,Damaged,Rural,Evening,83.4,115.02,Not Applicable,Yes,Yes,No,32.7,No,Male,Fatal,4,2020,May,20:09
Rajasthan,Bike,Foggy,Damaged,Highway,Morning,101.1,131.97,Yes,Not Applicable,Yes,No,14.7,No,Female,Fatal,7,2021,February,4:58
Uttar Pradesh,Bike,Rainy,Damaged,Rural,Evening,65.8,104.87,Yes,Not Applicable,Yes,No,22.8,No,Male,Fatal,4,2021,August,17:06
Uttar Pradesh,Bus,Foggy,Wet,Urban,Night,58,84.42,Not Applicable,Yes,Yes,Yes,14.4,No,Male,Fatal,42,2022,November,1:21
Rajasthan,Bus,Clear,Damaged,Highway,Night,106.7,139.11,Not Applicable,No,Yes,No,12.5,No,Male,Fatal,22,2024,December,3:25
Gujarat,Bike,Clear,Wet,Urban,Evening,46.3,63.77,No,Not Applicable,No,No,21,No,Female,Fatal,3,2019,March,19:35
Rajasthan,Bike,Foggy,Damaged,Highway,Night,106.8,150.27,Yes,Not Applicable,No,No,18.9,Yes,Male,Fatal,3,2023,February,22:38
Maharashtra,Bus,Rainy,Wet,Highway,Night,92.9,136.99,Not Applicable,Yes,No,No,13.2,No,Male,Fatal,27,2022,January,0:15
Maharashtra,Car,Clear,Dry,Urban,Morning,46.6,67.4,Not Applicable,No,Yes,No,18,No,Male,Fatal,8,2019,May,6:51
Maharashtra,Bike,Rainy,Wet,Urban,Morning,50.6,72.89,No,Not Applicable,No,Yes,30.1,Expired,Female,Fatal,4,2023,November,8:11
Rajasthan,Bike,Foggy,Damaged,Highway,Morning,74.8,114.53,No,Not Applicable,Yes,Yes,22.6,No,Female,Fatal,7,2023,August,9:14
Karnataka,Bike,Rainy,Wet,Urban,Evening,44.7,64.68,No,Not Applicable,No,Yes,31.1,Yes,Female,Fatal,2,2022,April,19:14
Maharashtra,Car,Rainy,Dry,Urban,Morning,43.2,65.39,Not Applicable,Yes,Yes,Yes,19.8,No,Female,Fatal,8,2023,September,4:41
Rajasthan,Truck,Rainy,Wet,Urban,Night,61.9,91.48,Not Applicable,Yes,Yes,No,34.6,No,Male,Fatal,7,2021,May,22:55
Maharashtra,Car,Rainy,Dry,Highway,Night,89.4,122.33,Not Applicable,Yes,No,No,19.2,Yes,Male,Fatal,1,2020,February,3:04
Karnataka,Truck,Foggy,Dry,Rural,Night,61.5,88.45,Not Applicable,No,Yes,No,28.1,Yes,Male,Fatal,3,2024,October,21:28
Tamil Nadu,Bike,Foggy,Wet,Urban,Morning,38,58.5,No,Not Applicable,Yes,Yes,30,Yes,Male,Fatal,5,2019,June,5:14
Rajasthan,Car,Clear,Dry,Highway,Morning,86.9,128.91,Not Applicable,Yes,No,No,24.2,Yes,Male,Fatal,1,2021,May,7:43
Karnataka,Bus,Foggy,Wet,Highway,Night,104.1,151.94,Not Applicable,No,Yes,No,31.6,Yes,Male,Fatal,35,2021,March,23:25
Uttar Pradesh,Bike,Foggy,Wet,Highway,Night,72,113.35,Yes,Not Applicable,Yes,No,23.3,No,Male,Fatal,7,2021,January,23:03
Rajasthan,Car,Rainy,Damaged,Urban,Night,49.6,67.21,Not Applicable,No,Yes,No,18.1,Yes,Male,Fatal,7,2024,December,22:58
Gujarat,Bike,Rainy,Wet,Urban,Night,38.7,56.04,Yes,Not Applicable,No,Yes,27.7,Yes,Male,Fatal,2,2020,October,3:34
Tamil Nadu,Bike,Clear,Dry,Highway,Evening,94.9,143.72,Yes,Not Applicable,No,Yes,17.7,Expired,Female,Fatal,3,2019,October,20:11
Tamil Nadu,Truck,Clear,Dry,Highway,Afternoon,96.7,145.14,Not Applicable,Yes,No,Yes,15.6,No,Male,Fatal,3,2022,July,15:22
Tamil Nadu,Truck,Clear,Wet,Highway,Morning,75.9,120.58,Not Applicable,No,Yes,No,24.4,No,Male,Fatal,7,2020,May,6:48
Karnataka,Bike,Rainy,Wet,Urban,Night,42.1,63.93,Yes,Not Applicable,No,Yes,24,No,Male,Fatal,4,2020,March,21:41
Maharashtra,Bike,Rainy,Damaged,Urban,Afternoon,40.9,64.68,Yes,Not Applicable,Yes,Yes,33,Yes,Female,Fatal,3,2022,August,15:05
Gujarat,Car,Foggy,Wet,Urban,Evening,63.3,94.15,Not Applicable,No,Yes,Yes,11,Yes,Female,Fatal,6,2020,June,19:53
Uttar Pradesh,Bike,Clear,Dry,Highway,Morning,96.1,144.11,No,Not Applicable,Yes,Yes,29.5,Yes,Female,Fatal,3,2024,February,6:27
Karnataka,Bike,Clear,Wet,Rural,Evening,84.3,122.04,No,Not Applicable,No,No,31.3,Yes,Female,Fatal,3,2019,April,18:29
Tamil Nadu,Bike,Clear,Wet,Rural,Night,75.1,119.98,No,Not Applicable,Yes,No,14.6,Yes,Female,Fatal,5,2024,September,2:21
Rajasthan,Truck,Clear,Wet,Urban,Night,73.5,117.6,Not Applicable,Yes,No,Yes,25.7,Expired,Male,Fatal,4,2023,August,22:28
Rajasthan,Bike,Clear,Damaged,Urban,Afternoon,59.7,83.7,Yes,Not Applicable,Yes,Yes,18.7,No,Female,Fatal,7,2019,April,13:43
Uttar Pradesh,Truck,Clear,Damaged,Urban,Night,56.4,81.69,Not Applicable,No,Yes,Yes,26.4,Yes,Male,Fatal,3,2019,August,23:36
Uttar Pradesh,Truck,Rainy,Damaged,Urban,Night,56,86.91,Not Applicable,Yes,Yes,Yes,34.5,Yes,Male,Fatal,3,2023,October,23:37
Tamil Nadu,Bike,Clear,Wet,Urban,Night,59,78.98,Yes,Not Applicable,Yes,Yes,14.3,Yes,Male,Fatal,3,2020,February,3:44
Maharashtra,Truck,Clear,Damaged,Urban,Night,50.2,67.96,Not Applicable,No,No,Yes,31.4,Yes,Male,Fatal,2,2021,February,1:10
Rajasthan,Car,Clear,Wet,Rural,Night,75.5,99.28,Not Applicable,No,Yes,No,29.4,No,Female,Fatal,7,2023,September,0:08
Maharashtra,Car,Clear,Damaged,Highway,Morning,93.8,138.31,Not Applicable,Yes,Yes,Yes,18.7,No,Female,Fatal,7,2023,August,8:28
Tamil Nadu,Car,Foggy,Dry,Highway,Night,77.5,111.6,Not Applicable,No,Yes,No,14.6,Yes,Male,Fatal,3,2021,May,21:13
Rajasthan,Car,Clear,Wet,Highway,Morning,93.5,137.82,Not Applicable,No,No,Yes,24.3,Yes,Male,Fatal,2,2020,October,9:37
Uttar Pradesh,Bike,Rainy,Dry,Rural,Morning,69.4,95.12,No,Not Applicable,Yes,No,29.7,No,Female,Fatal,4,2022,March,5:29
Maharashtra,Bike,Rainy,Wet,Highway,Night,86.9,130.3,No,Not Applicable,Yes,No,25.5,Yes,Female,Fatal,3,2019,March,1:15
Karnataka,Car,Rainy,Damaged,Highway,Evening,103.6,163.12,Not Applicable,Yes,No,Yes,33.9,No,Female,Fatal,3,2021,January,17:24
Tamil Nadu,Bus,Clear,Wet,Urban,Afternoon,58.9,91.82,Not Applicable,No,Yes,Yes,32,Expired,Male,Fatal,33,2020,November,12:55
Gujarat,Car,Foggy,Damaged,Highway,Evening,73.3,101,Not Applicable,No,Yes,No,27.6,Expired,Female,Fatal,7,2023,July,18:08
Tamil Nadu,Car,Rainy,Wet,Rural,Evening,75.4,111.24,Not Applicable,Yes,No,Yes,21.1,No,Male,Fatal,4,2021,January,17:03
Uttar Pradesh,Bike,Clear,Wet,Highway,Morning,114.9,172.01,Yes,Not Applicable,No,No,23.6,Yes,Female,Fatal,3,2022,April,7:20
Maharashtra,Bike,Clear,Dry,Highway,Night,94.5,133.07,No,Not Applicable,Yes,No,20.4,Yes,Male,Fatal,3,2020,August,1:35
Karnataka,Car,Foggy,Dry,Rural,Night,76.9,107.21,Not Applicable,Yes,Yes,Yes,33.3,Yes,Female,Fatal,6,2021,July,23:03
Uttar Pradesh,Car,Clear,Wet,Highway,Night,82.4,129.25,Not Applicable,Yes,Yes,No,28.4,No,Female,Fatal,7,2022,July,22:38
Uttar Pradesh,Bus,Rainy,Wet,Urban,Evening,49.7,68.09,Not Applicable,Yes,No,Yes,25.8,Expired,Male,Fatal,22,2021,August,17:11
Uttar Pradesh,Bike,Rainy,Wet,Urban,Night,41.1,64.89,No,Not Applicable,Yes,Yes,34.8,No,Male,Fatal,4,2023,August,21:52
Maharashtra,Car,Clear,Dry,Highway,Afternoon,98.3,153.79,Not Applicable,Yes,Yes,Yes,27.5,Yes,Female,Fatal,6,2024,December,15:59
Rajasthan,Bike,Rainy,Wet,Urban,Night,50.7,79,Yes,Not Applicable,Yes,No,19,Yes,Male,Fatal,5,2019,June,1:47
Rajasthan,Car,Clear,Dry,Rural,Night,73.1,108.94,Not Applicable,Yes,Yes,Yes,16,No,Male,Fatal,8,2020,January,2:55
Uttar Pradesh,Car,Rainy,Wet,Urban,Evening,53,80.33,Not Applicable,No,Yes,Yes,34.3,Yes,Female,Fatal,3,2022,June,18:40
Tamil Nadu,Bike,Rainy,Damaged,Highway,Morning,79.4,103.64,No,Not Applicable,Yes,No,28.1,Expired,Male,Fatal,6,2019,October,11:42
Gujarat,Car,Clear,Dry,Highway,Afternoon,104.7,156.79,Not Applicable,No,Yes,No,18.3,Expired,Male,Fatal,3,2021,February,12:34
Rajasthan,Bike,Clear,Wet,Highway,Night,111.4,166.03,No,Not Applicable,No,No,23.7,Yes,Male,Fatal,3,2021,October,22:03
Rajasthan,Bike,Foggy,Damaged,Urban,Night,41.1,55.29,No,Not Applicable,No,No,11.7,No,Male,Fatal,4,2020,June,1:08
Tamil Nadu,Bike,Clear,Wet,Urban,Night,42.2,56.17,No,Not Applicable,No,Yes,28.1,Yes,Female,Fatal,2,2020,August,21:41
Tamil Nadu,Car,Clear,Wet,Rural,Night,60.6,85.12,Not Applicable,Yes,Yes,No,18,Expired,Male,Fatal,6,2020,June,23:26
Rajasthan,Bus,Rainy,Damaged,Highway,Night,94.4,128.1,Not Applicable,No,No,Yes,31.9,Yes,Male,Fatal,20,2024,November,23:56
Uttar Pradesh,Car,Foggy,Damaged,Urban,Night,52.3,76.08,Not Applicable,No,Yes,No,24.9,Yes,Female,Fatal,6,2024,July,23:40
Rajasthan,Car,Clear,Wet,Highway,Afternoon,77.9,106.04,Not Applicable,No,Yes,Yes,22.8,Yes,Male,Fatal,6,2024,June,16:51
Tamil Nadu,Bike,Rainy,Wet,Urban,Morning,50.3,71.73,Yes,Not Applicable,Yes,Yes,22.7,No,Male,Fatal,7,2020,September,11:39
Gujarat,Car,Rainy,Damaged,Highway,Evening,90.8,129.93,Not Applicable,Yes,Yes,Yes,33,Yes,Female,Fatal,3,2021,May,17:17
Maharashtra,Bike,Foggy,Damaged,Highway,Morning,101.4,134.02,No,Not Applicable,Yes,No,10.2,No,Female,Fatal,7,2021,August,11:38
Maharashtra,Car,Clear,Damaged,Urban,Night,69.4,105.39,Not Applicable,Yes,Yes,No,19.8,No,Male,Fatal,4,2024,November,0:54
Uttar Pradesh,Bike,Clear,Wet,Rural,Morning,74.8,99.86,No,Not Applicable,Yes,No,31.1,Yes,Male,Fatal,5,2019,May,10:26
Maharashtra,Truck,Rainy,Damaged,Urban,Afternoon,49.1,77.31,Not Applicable,Yes,Yes,Yes,20.8,No,Male,Fatal,7,2024,November,13:10
Maharashtra,Car,Foggy,Wet,Urban,Evening,48.3,73.09,Not Applicable,Yes,Yes,Yes,10.2,Yes,Female,Fatal,3,2019,July,17:38
Karnataka,Bike,Foggy,Damaged,Urban,Afternoon,47.8,73.44,No,Not Applicable,No,Yes,24.6,No,Male,Fatal,4,2023,November,15:48
Maharashtra,Bike,Foggy,Wet,Urban,Night,44,65.55,Yes,Not Applicable,No,Yes,27.9,Yes,Male,Fatal,2,2019,September,23:23
Tamil Nadu,Bike,Clear,Wet,Rural,Morning,67.1,106.72,Yes,Not Applicable,Yes,Yes,15,Expired,Female,Fatal,6,2022,December,11:03
Rajasthan,Truck,Rainy,Damaged,Highway,Night,100.8,133.37,Not Applicable,Yes,Yes,No,18.3,Yes,Male,Fatal,5,2020,September,2:23
Maharashtra,Bus,Clear,Damaged,Rural,Morning,55,82.22,Not Applicable,Yes,Yes,Yes,27.2,Expired,Male,Fatal,22,2021,April,5:55
Tamil Nadu,Bike,Clear,Wet,Highway,Night,81.5,112.81,No,Not Applicable,Yes,No,24.2,Expired,Male,Fatal,6,2021,August,3:25
Gujarat,Bike,Clear,Damaged,Urban,Night,66.4,89.47,Yes,Not Applicable,Yes,Yes,33.8,Yes,Female,Fatal,3,2019,March,1:29
